total_games,team_name,wins,win_percentage
304,FC Barcelona,234,76
304,Real Madrid CF,228,75
304,Celtic,218,71
272,FC Bayern Munich,193,70
304,Manchester United,192,63
301,Juventus,189,62
248,SL Benfica,185,74
248,FC Porto,183,73
272,Ajax,181,66
286,FC Basel,180,62
272,PSV,178,65
304,Chelsea,176,57
304,Manchester City,175,57
304,Paris Saint-Germain,175,57
304,Arsenal,170,55
304,Atlético Madrid,167,54
303,Roma,162,53
272,Borussia Dortmund,157,57
303,Milan,154,50
303,Inter,154,50
304,Olympique Lyonnais,153,50
301,Napoli,153,50
304,Tottenham Hotspur,151,49
304,Liverpool,150,49
304,LOSC Lille,147,48
272,FC Twente,144,52
248,Sporting CP,144,58
304,Olympique de Marseille,143,47
286,BSC Young Boys,142,49
304,Valencia CF,142,46
272,AZ,140,51
304,Sevilla FC,139,45
272,Feyenoord,139,51
272,Bayer 04 Leverkusen,137,50
240,Legia Warszawa,137,57
212,RSC Anderlecht,136,64
300,Fiorentina,132,44
301,Lazio,131,43
272,FC Schalke 04,127,46
304,Girondins de Bordeaux,126,41
248,SC Braga,126,50
240,Lech Poznań,124,51
212,Club Brugge KV,123,58
304,Athletic Club de Bilbao,122,40
304,Motherwell,122,40
304,Everton,121,39
304,AS Saint-Étienne,121,39
304,Aberdeen,120,39
286,FC Zürich,120,41
272,VfL Wolfsburg,117,43
302,Udinese,115,38
304,Dundee United,115,37
286,Grasshopper Club Zürich,115,40
266,Villarreal CF,112,42
304,Stade Rennais FC,111,36
266,Montpellier Hérault SC,110,41
272,FC Groningen,109,40
272,Borussia Mönchengladbach,109,40
218,KAA Gent,109,50
152,Rangers,108,71
240,Wisła Kraków,108,45
272,SC Heerenveen,107,39
304,OGC Nice,106,34
304,Málaga CF,106,34
212,Standard de Liège,106,50
302,Genoa,106,35
272,Vitesse,105,38
272,FC Utrecht,105,38
286,FC Luzern,105,36
286,FC Sion,104,36
304,Toulouse FC,103,33
266,Heart of Midlothian,101,37
272,VfB Stuttgart,99,36
266,St. Johnstone FC,98,36
304,Stoke City,98,32
304,RCD Espanyol,97,31
304,FC Lorient,97,31
212,KRC Genk,97,45
266,Inverness Caledonian Thistle,96,36
228,AS Monaco,95,41
304,Getafe CF,94,30
248,CD Nacional,94,37
272,Hamburger SV,93,34
272,Heracles Almelo,93,34
240,Ruch Chorzów,92,38
248,Vitória Guimarães,92,37
266,Palermo,91,34
272,Hannover 96,91,33
240,Śląsk Wrocław,89,37
272,SV Werder Bremen,89,32
238,1. FSV Mainz 05,88,36
240,Jagiellonia Białystok,87,36
272,TSG 1899 Hoffenheim,87,31
303,Chievo Verona,87,28
304,Kilmarnock,86,28
304,Aston Villa,86,28
248,CS Marítimo,85,34
228,Real Sociedad,84,36
266,Sampdoria,84,31
212,KV Kortrijk,82,38
266,Newcastle United,82,30
248,FC Paços de Ferreira,80,32
266,West Ham United,80,30
212,KV Mechelen,79,37
263,Atalanta,79,30
272,ADO Den Haag,79,29
240,Lechia Gdańsk,78,32
304,Sunderland,78,25
212,SV Zulte-Waregem,78,36
264,Cagliari,76,28
248,Rio Ave FC,75,30
266,West Bromwich Albion,75,28
212,Sporting Lokeren,74,34
226,Parma,74,32
238,Eintracht Frankfurt,72,30
216,FC St. Gallen,72,33
238,NAC Breda,71,29
238,Roda JC Kerkrade,71,29
228,Fulham,71,31
214,FC Thun,71,33
210,Korona Kielce,69,32
228,Levante UD,69,30
228,FC Sochaux-Montbéliard,69,30
238,N.E.C.,68,28
263,Bologna,68,25
228,CA Osasuna,67,29
224,Catania,67,29
190,RCD Mallorca,67,35
190,Rayo Vallecano,66,34
180,Piast Gliwice,65,36
204,Hertha BSC Berlin,65,31
228,Valenciennes FC,65,28
228,Hibernian,65,28
204,SC Freiburg,62,30
180,GKS Bełchatów,62,34
228,RC Deportivo de La Coruña,62,27
190,Swansea City,62,32
210,Cracovia,61,29
266,St. Mirren,61,22
150,P. Warszawa,60,40
152,Southampton,60,39
204,1. FC Köln,60,29
180,Zagłębie Lubin,59,32
182,KSV Cercle Brugge,58,31
248,Vitória Setúbal,58,23
190,Torino,57,30
190,SM Caen,56,29
190,Hamilton Academical FC,56,29
190,AS Nancy-Lorraine,56,29
190,Real Betis Balompié,56,29
